@relation 'D-Paraguay'

@attribute NEtapa {1,2,3}
@attribute P01 {Satisfactorio,Insipiente,Ninguno}
@attribute P02 {Satisfactorio,Insipiente,Ninguno}
@attribute P03 {Mucho,Poco}
@attribute P04 {Regular,Suficiente,Insipiente}
@attribute P05 {Suficiente,Insipiente,Regular}
@attribute P06 {Suficiente,Insipiente,Regular}
@attribute P07 {Insipiente,Satisfactorio,Ninguno}
@attribute P08 {Mucho,Poco,Nada}
@attribute P09 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 {Mucho,Poco}
@attribute P18 {Si,No}
@attribute P19 {Conceptual,Procedimental}
@attribute P17 {Sí,'Más o menos'}

@data
3,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,10,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Insipiente,Mucho,Regular,Insipiente,Insipiente,Satisfactorio,Mucho,7,6,7,8,8,8,7,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Poco,7,5,10,8,8,8,6,Mucho,Si,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,10,8,8,8,8,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,8,8,8,8,8,8,Poco,Si,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,10,10,10,10,10,10,9,Poco,Si,Procedimental,Sí
2,Insipiente,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,10,9,10,10,9,10,10,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,7,8,8,8,8,8,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Suficiente,Satisfactorio,Mucho,8,8,8,8,8,10,8,Mucho,Si,Conceptual,'Más o menos'
