@relation 'D3-Central y Oeste'

@attribute P01 {Satisfactorio,Insipiente,Ninguno}
@attribute P02 {Satisfactorio,Insipiente,Ninguno}
@attribute P03 {Mucho,Poco}
@attribute P04 {Regular,Suficiente,Insipiente}
@attribute P05 {Suficiente,Insipiente,Regular}
@attribute P06 {Suficiente,Insipiente,Regular}
@attribute P07 {Insipiente,Satisfactorio,Ninguno}
@attribute P08 {Mucho,Poco,Nada}
@attribute P09 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 {Mucho,Poco}
@attribute P18 {Si,No}
@attribute P19 {Conceptual,Procedimental}
@attribute P17 {Sí,'Más o menos'}

@data
Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,10,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,8,8,8,10,10,10,10,Poco,No,Procedimental,'Más o menos'
Insipiente,Insipiente,Mucho,Suficiente,Regular,Regular,Ninguno,Mucho,9,10,9,9,10,10,10,Mucho,Si,Conceptual,Sí
Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,9,9,10,10,10,10,10,Mucho,Si,Procedimental,Sí
Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,9,9,9,9,10,10,Mucho,Si,Conceptual,'Más o menos'
Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,10,8,9,8,9,9,9,Mucho,Si,Procedimental,Sí
Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,8,8,9,9,10,8,Mucho,Si,Conceptual,'Más o menos'
Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Poco,9,9,10,10,8,8,8,Mucho,Si,Procedimental,'Más o menos'
Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,9,8,10,9,8,10,10,Mucho,Si,Procedimental,Sí
Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,9,9,10,10,Poco,No,Conceptual,'Más o menos'
Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Regular,Insipiente,Mucho,9,6,10,8,9,7,7,Mucho,No,Conceptual,'Más o menos'
Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,6,9,9,9,9,9,Mucho,Si,Procedimental,Sí
Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,7,7,8,7,7,7,8,Mucho,Si,Conceptual,Sí
Insipiente,Insipiente,Mucho,Regular,Insipiente,Insipiente,Insipiente,Mucho,6,3,7,7,8,8,8,Poco,Si,Conceptual,'Más o menos'
Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,8,8,8,10,9,9,Mucho,Si,Procedimental,Sí
Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,9,9,9,9,Mucho,Si,Procedimental,Sí
Insipiente,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,6,6,6,8,8,8,9,Poco,Si,Procedimental,'Más o menos'
